id;tweet
1091123464742858753;N quero comprar fora do brasil
1091122360571346945;bota tudo no low
1091122004130971649;seu pc ta rodando biznes amifo
1091120437415854081;opa opa
1091119929355579393;@kabumcombr
1091113304053948420;Redmi note 7 > all
1091113116375621632;N tem outra opção
1091112712472535047;Moto G6 Luca mds
1091103175061524480;Hey @kabumcombr, vocês poderiam me ajudar? Não consigo saber onde o meu pedido está, o número do pedido é 11716435
1091102746244202497;hey my friend meu limite virou hj e estourou hj tamo juntasso @kabumcombr
